label,V,n_qubits,ref_size,noiseless_size,noiseless_ratio,noisy_size,noisy_ratio,classical_size,classical_ratio
"ER(V=4,p=0.6)",4,2,2,2.0,1.0,,,2.0,1.0
"ER(V=4,p=0.6)",4,2,2,2.0,1.0,,,2.0,1.0
"ER(V=4,p=0.6)",4,2,2,2.0,1.0,,,2.0,1.0
"ER(V=4,p=0.6)",4,2,3,3.0,1.0,,,3.0,1.0
"BA(V=8,m=2)",8,3,3,3.0,1.0,,,3.0,1.0
"BA(V=8,m=2)",8,3,4,4.0,1.0,,,4.0,1.0
"BA(V=8,m=2)",8,3,3,3.0,1.0,,,3.0,1.0
"BA(V=8,m=2)",8,3,3,3.0,1.0,,,3.0,1.0
"BA(V=8,m=2)",8,3,3,3.0,1.0,,,3.0,1.0
"BA(V=8,m=2)",8,3,5,5.0,1.0,,,5.0,1.0
"ER(V=8,p=0.4)",8,3,5,5.0,1.0,,,5.0,1.0
"ER(V=8,p=0.4)",8,3,3,3.0,1.0,,,3.0,1.0
"ER(V=8,p=0.4)",8,3,4,4.0,1.0,,,4.0,1.0
"ER(V=8,p=0.4)",8,3,5,5.0,1.0,,,5.0,1.0
"ER(V=8,p=0.4)",8,3,3,3.0,1.0,,,3.0,1.0
"BA(V=12,m=2)",12,4,5,5.0,1.0,,,5.0,1.0
"BA(V=12,m=2)",12,4,5,5.0,1.0,,,5.0,1.0
"BA(V=12,m=2)",12,4,4,4.0,1.0,,,4.0,1.0
"BA(V=12,m=2)",12,4,5,5.0,1.0,,,5.0,1.0
"BA(V=12,m=2)",12,4,5,5.0,1.0,,,5.0,1.0
"ER(V=12,p=0.4)",12,4,6,6.0,1.0,,,6.0,1.0
"ER(V=12,p=0.4)",12,4,7,7.0,1.0,,,7.0,1.0
"ER(V=12,p=0.4)",12,4,6,6.0,1.0,,,6.0,1.0
"ER(V=12,p=0.4)",12,4,6,6.0,1.0,,,6.0,1.0
"BA(V=16,m=2)",16,4,7,7.0,1.0,,,7.0,1.0
"BA(V=16,m=2)",16,4,7,7.0,1.0,,,7.0,1.0
"BA(V=16,m=2)",16,4,6,6.0,1.0,,,6.0,1.0
"BA(V=16,m=2)",16,4,7,7.0,1.0,,,7.0,1.0
"ER(V=4,p=0.6)",4,2,2,,,2.0,1.0,,
"ER(V=4,p=0.6)",4,2,2,,,3.0,1.5,,
"ER(V=4,p=0.6)",4,2,2,,,2.0,1.0,,
"BA(V=8,m=2)",8,3,3,,,7.0,2.3333333333333335,,
"BA(V=8,m=2)",8,3,4,,,7.0,1.75,,
"BA(V=8,m=2)",8,3,3,,,4.0,1.3333333333333333,,
"BA(V=8,m=2)",8,3,3,,,6.0,2.0,,
"ER(V=8,p=0.4)",8,3,5,,,7.0,1.4,,
"ER(V=8,p=0.4)",8,3,3,,,5.0,1.6666666666666667,,
"ER(V=8,p=0.4)",8,3,4,,,5.0,1.25,,
